;eartag;X;date;day;year_time;time;plot;Abundance;trap;station;biomark;seed_number;seed_weight;PIT_tag;Sex;Sex2;Body_mass;reproductive_state;seed_status;intact;missing;partiallyeaten;eaten;cached;dispersal_distance;distance_cm;distance;perc_eaten;hidden;test;latency;cross;manipulator;bag_struggle;watched;dispersal_tree;distance_tree_cm;distance_tree;tree_diameter;tree_species;Notes;Exploration_rate
1;1;1728;18.08.2021;63;2021;21:51:12;natura;11;F1;F1-natura;7;3;4,735;6,16E+14;F;F;28;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MYSZ Z ZAGUBIONYM PIT TAGIEM - POTWIERDZIÆ;-0,368938294
2;1;1669;17.08.2021;62;2021;NA;natura;11;D3;D3-natura;2;4;4,587;6,16E+14;F;F;28;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NO;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;MYSZ Z ZAGUBIONYM PIT TAGIEM - POTWIERDZIÆ;-0,368938294
3;1;1667;17.08.2021;62;2021;NA;natura;11;D3;D3-natura;2;2;3,459;6,16E+14;F;F;28;NP;CAR;0;0;1;0;1;11,09;1109;11,09;45;LITTER;NO;NA;NA;NA;NA;NA;2,77;277;2,77;130;FAGUS SYLVATICA;MYSZ Z ZAGUBIONYM PIT TAGIEM - POTWIERDZIÆ;-0,368938294
4;1;1727;18.08.2021;63;2021;21:51:12;natura;11;F1;F1-natura;7;2;4,992;6,16E+14;F;F;28;NP;RS;0;0;0;0;0;2,19;219;2,19;0;NA;YES;NA;NA;NA;NA;NA;0,18;18;0,18;56;FAGUS SYLVATICA;MYSZ Z ZAGUBIONYM PIT TAGIEM - POTWIERDZIÆ;-0,368938294
5;1;1726;18.08.2021;63;2021;00:13:43;natura;11;F1;F1-natura;7;1;5,522;6,16E+14;F;F;28;NP;CAR;0;0;0;0;1;4,31;431;4,31;0;LEAVES;YES;NA;NA;NA;NA;NA;1,56;156;1,56;70;FAGUS SYLVATICA;MYSZ Z ZAGUBIONYM PIT TAGIEM - POTWIERDZIÆ;-0,368938294
6;1;1666;17.08.2021;62;2021;23:27:55;natura;11;D3;D3-natura;2;1;4,208;6,16E+14;F;F;28;NP;CAR;0;0;1;0;1;10,43;1043;10,43;20;LEAVES;NO;NA;NA;NA;NA;NA;4,55;455;4,55;130;FAGUS SYLVATICA;MYSZ Z ZAGUBIONYM PIT TAGIEM - POTWIERDZIÆ;-0,368938294
7;1;1670;17.08.2021;62;2021;NA;natura;11;D3;D3-natura;2;5;4,41;6,16E+14;F;F;28;NP;CAR;0;0;0;0;1;3,79;379;3,79;0;LEAVES;NO;NA;NA;NA;NA;NA;3,88;388;3,88;106;FAGUS SYLVATICA;MYSZ Z ZAGUBIONYM PIT TAGIEM - POTWIERDZIÆ;-0,368938294
8;1;1668;17.08.2021;62;2021;NA;natura;11;D3;D3-natura;2;3;4,343;6,16E+14;F;F;28;NP;CAR;0;0;0;0;1;9,04;904;9,04;0;LITTER;NO;NA;NA;NA;NA;NA;3,93;393;3,93;130;FAGUS SYLVATICA;MYSZ Z ZAGUBIONYM PIT TAGIEM - POTWIERDZIÆ;-0,368938294
9;102;3081;14.07.2020;28;2020;00:21:21;karpaty;23;G1;G1-karpaty;4;1;NA;9,68E+14;F;F;10,5;JUV;CAR;0;0;1;0;1;9,06;906;9,06;70;leaves;YES;0;17;JW;58;JW;NA;NA;NA;NA;NA;;0,230155322
10;102;3085;14.07.2020;28;2020;00:43:15;natura;57;G1;G1-natura;4;5;NA;9,68E+14;F;F;10,5;JUV;EAR;0;0;0;1;0;NA;895;8,95;100;NA;YES;0;17;JW;58;JW;NA;NA;NA;NA;NA;;0,230155322
11;108;4479;05.09.2020;81;2020;20:45:50;karpaty;86;G9;G9-karpaty;3;4;3,779;9,68E+14;F;F;23,5;NP;CAR;0;0;0;0;1;18,95;1895;18,95;0;litter;YES;0;31;RZ;52;JW;3,87;387;3,87;85;FAGUS SYLVATICA;;0,408348469
12;108;4040;19.08.2020;64;2020;21:01:30;karpaty;34;H7;H7-karpaty;3;5;7;9,68E+14;F;F;28;NP;EAR;0;0;0;1;0;NA;1622;16,22;100;NA;YES;0;31;RZ;52;JW;NA;NA;NA;NA;NA;;0,408348469
13;136;4038;19.08.2020;64;2020;20:45:28;karpaty;34;H7;H7-karpaty;3;3;6,92;9,68E+14;M;MS;31,5;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;52;0;RZ;4;JW;NA;NA;NA;NA;NA;;0,612652192
14;136;4039;19.08.2020;64;2020;20:53:35;karpaty;34;H7;H7-karpaty;3;4;7,157;9,68E+14;M;MS;31,5;S;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;52;0;RZ;4;JW;NA;NA;NA;NA;NA;;0,612652192
15;136;3915;16.08.2020;61;2020;03:18:35;karpaty;34;E6;E6-karpaty;2;5;3,724;9,68E+14;M;MS;31,5;S;CAR;0;0;1;0;1;6,17;617;6,17;45;NA;YES;52;0;RZ;4;JW;NA;NA;NA;NA;NA;;0,612652192
16;136;4037;19.08.2020;64;2020;20:50:17;karpaty;34;H7;H7-karpaty;3;2;6,862;9,68E+14;M;MS;31,5;S;CAR;0;0;0;0;1;16,64;1664;16,64;0;leaves;YES;52;0;RZ;4;JW;NA;NA;NA;NA;NA;;0,612652192
17;136;4036;19.08.2020;64;2020;21:09:10;karpaty;34;H7;H7-karpaty;3;1;6,868;9,68E+14;M;MS;31,5;S;CAR;0;0;0;0;1;18,3;1830;18,3;0;leaves;YES;52;0;RZ;4;JW;NA;NA;NA;NA;NA;;0,612652192
18;136;3605;02.08.2020;47;2020;22:44:45;bagno;33;J4;J4-bagno;4;5;NA;9,68E+14;M;MS;28;S;CAR;0;0;1;0;1;11,15;1115;11,15;55;NA;YES;52;0;RZ;4;JW;NA;NA;NA;NA;NA;;0,612652192
19;136;3911;16.08.2020;61;2020;03:10:32;karpaty;34;E6;E6-karpaty;2;1;3,796;9,68E+14;M;MS;31,5;S;CAR;0;0;0;0;1;19,86;1986;19,86;0;leaves;YES;52;0;RZ;4;JW;NA;NA;NA;NA;NA;;0,612652192
20;140;2549;25.06.2020;9;2020;01:18:43;karpaty;39;B8;B8-karpaty;1;4;NA;9,68E+14;M;M;20;NS;CAR;0;0;1;0;1;2,83;283;2,83;50;NA;YES;5;23;RZ;60;JW;NA;NA;NA;NA;NA;;0,41259757
21;140;2548;25.06.2020;9;2020;00:56:31;karpaty;39;B8;B8-karpaty;1;3;NA;9,68E+14;M;M;20;NS;CAR;0;0;0;0;1;4,64;464;4,64;0;leaves;YES;5;23;RZ;60;JW;NA;NA;NA;NA;NA;;0,41259757
22;140;2547;25.06.2020;9;2020;01:16:44;karpaty;39;B8;B8-karpaty;1;2;NA;9,68E+14;M;M;20;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;5;23;RZ;60;JW;NA;NA;NA;NA;NA;;0,41259757
23;140;2546;25.06.2020;9;2020;01:44:46;karpaty;39;B8;B8-karpaty;1;1;NA;9,68E+14;M;M;20;NS;CAR;0;0;0;0;1;6,26;626;6,26;0;litter;YES;5;23;RZ;60;JW;NA;NA;NA;NA;NA;;0,41259757
24;140;2550;25.06.2020;9;2020;02:02:46;karpaty;39;B8;B8-karpaty;1;5;NA;9,68E+14;M;M;20;NS;EAR;0;0;0;1;0;NA;403;4,03;100;NA;YES;5;23;RZ;60;JW;NA;NA;NA;NA;NA;;0,41259757
25;161;2883;09.07.2020;23;2020;21:47:56;debowa;55;I4;I4-debowa;4;3;NA;9,68E+14;F;F;36;NP;CAR;0;0;0;0;1;6,16;616;6,16;0;leaves;YES;0;21;JW;58;JW;NA;NA;NA;NA;NA;;-0,194347399
26;161;2885;09.07.2020;23;2020;21:38:23;debowa;55;I4;I4-debowa;4;5;NA;9,68E+14;F;F;36;NP;EAR;0;0;0;1;0;NA;897;8,97;100;NA;YES;0;21;JW;58;JW;NA;NA;NA;NA;NA;;-0,194347399
27;161;2882;09.07.2020;23;2020;21:40:17;debowa;55;I4;I4-debowa;4;2;NA;9,68E+14;F;F;36;NP;EAR;0;0;0;1;0;NA;233;2,33;100;NA;YES;0;21;JW;58;JW;NA;NA;NA;NA;NA;;-0,194347399
28;161;2881;09.07.2020;23;2020;21:46:20;debowa;55;I4;I4-debowa;4;1;NA;9,68E+14;F;F;36;NP;CAR;0;0;1;0;1;7,08;708;7,08;10;NA;YES;0;21;JW;58;JW;NA;NA;NA;NA;NA;;-0,194347399
29;180;4165;22.08.2020;67;2020;22:54:45;bagno;47;I4;I4-bagno;4;5;5,342;9,68E+14;M;M;26,5;NS;EAR;0;0;0;1;0;NA;1065;10,65;100;NA;YES;0;13;JW;26;JW;NA;NA;NA;NA;NA;;-0,533403807
30;180;3681;04.08.2020;48;2020;03:38:40;bagno;33;H5;H5-bagno;4;1;NA;9,68E+14;M;M;24;NS;CAR;0;0;0;0;1;6,33;633;6,33;0;leaves;YES;0;13;JW;26;JW;NA;NA;NA;NA;NA;;-0,533403807
31;180;4161;22.08.2020;67;2020;22:21:20;bagno;47;I4;I4-bagno;4;1;5,756;9,68E+14;M;M;26,5;NS;EAR;0;0;0;1;0;NA;867;8,67;100;NA;YES;0;13;JW;26;JW;NA;NA;NA;NA;NA;;-0,533403807
32;180;4164;22.08.2020;67;2020;22:21:20;bagno;47;I4;I4-bagno;4;4;5,291;9,68E+14;M;M;26,5;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;13;JW;26;JW;NA;NA;NA;NA;NA;;-0,533403807
33;198;3585;01.08.2020;46;2020;01:17:57;natura;62;I4;I4-natura;8;5;NA;9,68E+14;M;MS;41;S;CAR;0;0;1;0;1;10,84;1084;10,84;10;NA;YES;0;29;RZ;55;JW;NA;NA;NA;NA;NA;;-0,301213799
34;198;3584;01.08.2020;46;2020;01:10:18;natura;62;I4;I4-natura;8;4;NA;9,68E+14;M;MS;41;S;CAR;0;0;1;0;1;3,52;352;3,52;10;NA;YES;0;29;RZ;55;JW;NA;NA;NA;NA;NA;;-0,301213799
35;198;4457;04.09.2020;80;2020;21:32:04;natura;59;G8;G8-natura;7;2;5,082;9,68E+14;M;M;46;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;29;RZ;55;JW;NA;NA;NA;NA;NA;;-0,301213799
36;200;3032;13.07.2020;27;2020;00:03:46;karpaty;23;C1;C1-karpaty;2;2;NA;9,68E+14;M;M;21;NS;EAR;0;0;0;1;0;NA;724;7,24;100;NA;YES;0;27;RZ;47;JW;NA;NA;NA;NA;NA;;0,131214675
37;200;3034;13.07.2020;27;2020;02:32:16;karpaty;23;C1;C1-karpaty;2;4;NA;9,68E+14;M;M;21;NS;CAR;0;0;1;0;1;5,45;545;5,45;60;NA;YES;0;27;RZ;47;JW;NA;NA;NA;NA;NA;;0,131214675
38;200;3068;14.07.2020;28;2020;23:53:59;karpaty;23;B4;B4-karpaty;1;3;NA;9,68E+14;M;M;21;NS;EAR;0;0;0;1;0;NA;800;8;100;NA;YES;0;27;RZ;47;JW;NA;NA;NA;NA;NA;;0,131214675
39;200;2946;11.07.2020;25;2020;00:12:44;karpaty;23;B2;B2-karpaty;1;1;NA;9,68E+14;M;M;21;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;27;RZ;47;JW;NA;NA;NA;NA;NA;;0,131214675
40;200;2593;26.06.2020;10;2020;01:34:46;karpaty;39;C9;C9-karpaty;2;3;NA;9,68E+14;M;MS;20;S;EAR;0;0;0;1;0;NA;65;0,65;100;NA;YES;0;27;RZ;47;JW;NA;NA;NA;NA;NA;;0,131214675
41;2009;4509;06.09.2020;82;2020;02:07:31;karpaty;86;B7;B7-karpaty;1;4;3,566;9,68E+14;F;F;35,5;NP;EAR;0;0;0;1;0;NA;758;7,58;100;NA;YES;7;31;RZ;56;JW;NA;164;1,64;92;ACER PSEUDOPLATANUS;;-0,014884941
42;2009;4034;19.08.2020;64;2020;22:14:16;karpaty;34;C5;C5-karpaty;2;4;3,082;9,68E+14;F;F;35,5;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
43;2009;4510;06.09.2020;82;2020;20:02:54;karpaty;86;B7;B7-karpaty;1;5;3,83;9,68E+14;F;F;35,5;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
44;2009;4035;19.08.2020;64;2020;22:15:17;karpaty;34;C5;C5-karpaty;2;5;3,326;9,68E+14;F;F;35,5;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
45;2009;4506;06.09.2020;82;2020;20:05:44;karpaty;86;B7;B7-karpaty;1;1;4,294;9,68E+14;F;F;35,5;NP;EAR;0;0;0;1;0;NA;169;1,69;100;NA;YES;7;31;RZ;56;JW;NA;50;0,5;83;ACER PSEUDOPLATANUS;;-0,014884941
46;2009;4471;05.09.2020;81;2020;19:41:24;karpaty;86;C9;C9-karpaty;2;1;4,602;9,68E+14;F;F;35,5;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
47;2009;4429;04.09.2020;80;2020;21:35:31;karpaty;86;A9;A9-karpaty;1;4;2,842;9,68E+14;F;F;35,5;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
48;2009;3547;01.08.2020;46;2020;22:32:26;karpaty;23;A4;A4-karpaty;1;2;NA;9,68E+14;F;F;35,5;NP;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
49;2009;4031;19.08.2020;64;2020;22:21:21;karpaty;34;C5;C5-karpaty;2;1;3,124;9,68E+14;F;F;35,5;NP;CAR;0;0;1;0;1;14;1400;14;70;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
50;2009;3509;31.07.2020;45;2020;23:48:12;karpaty;23;B7;B7-karpaty;1;4;NA;9,68E+14;F;F;35,5;NP;EAR;0;0;0;1;0;NA;1024;10,24;100;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
51;2009;3546;01.08.2020;46;2020;23:20:15;karpaty;23;A4;A4-karpaty;1;1;NA;9,68E+14;F;F;35,5;NP;EAR;0;0;0;1;0;NA;158;1,58;100;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
52;2009;4428;04.09.2020;80;2020;21:25:28;karpaty;86;A9;A9-karpaty;1;3;3,066;9,68E+14;F;F;35,5;NP;EAR;0;0;0;1;0;NA;712;7,12;100;NA;YES;7;31;RZ;56;JW;NA;274;2,74;138;FAGUS SYLVATICA;;-0,014884941
53;2009;4033;19.08.2020;64;2020;22:13:16;karpaty;34;C5;C5-karpaty;2;3;3,22;9,68E+14;F;F;35,5;NP;EAR;0;0;0;1;0;NA;299;2,99;100;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
54;2009;4032;19.08.2020;64;2020;22:26:50;karpaty;34;C5;C5-karpaty;2;2;3,106;9,68E+14;F;F;35,5;NP;EAR;0;0;0;1;0;NA;502;5,02;100;NA;YES;7;31;RZ;56;JW;NA;NA;NA;NA;NA;;-0,014884941
55;2009;4427;04.09.2020;80;2020;21:13:17;karpaty;86;A9;A9-karpaty;1;2;2,548;9,68E+14;F;F;35,5;NP;EAR;0;0;0;1;0;NA;956;9,56;100;NA;YES;7;31;RZ;56;JW;NA;218;2,18;121;FAGUS SYLVATICA;;-0,014884941
56;2013;4434;04.09.2020;80;2020;20:48:50;karpaty;86;B2;B2-karpaty;2;4;4,195;6,16E+14;F;F;23,5;NP;EAR;0;0;0;1;0;NA;548;5,48;100;NA;YES;0;0;JW;0;JW;NA;247;2,47;50;FAGUS SYLVATICA;;-0,008443711
57;2032;4059;19.08.2020;64;2020;22:14:47;natura;59;H2;H2-natura;7;4;4,664;6,16E+14;M;M;16;NS;EAR;0;0;0;1;0;NA;1665;16,65;100;NA;YES;0;6;MZ;6;MZ;NA;NA;NA;NA;NA;;-0,210772381
58;2032;4060;19.08.2020;64;2020;04:14:10;natura;59;H2;H2-natura;7;5;4,764;6,16E+14;M;M;16;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;6;MZ;6;MZ;NA;NA;NA;NA;NA;;-0,210772381
59;2032;4057;19.08.2020;64;2020;02:01:51;natura;59;H2;H2-natura;7;2;4,878;6,16E+14;M;M;16;NS;CAR;0;0;1;0;1;8,78;878;8,78;10;leaves;YES;0;6;MZ;6;MZ;NA;NA;NA;NA;NA;;-0,210772381
60;2033;3984;17.08.2020;62;2020;00:30:04;natura;59;H5;H5-natura;8;4;4,825;6,16E+14;M;M;16;NS;EAR;0;0;0;1;0;NA;829;8,29;100;NA;YES;0;32;MZ;57;MZ;NA;NA;NA;NA;NA;;0,461120874
61;2037;4065;19.08.2020;64;2020;21:40:11;natura;59;I6;I6-natura;8;5;2,99;9,68E+14;M;M;26,5;NS;EAR;0;0;0;1;0;NA;682;6,82;100;NA;YES;0;19;JW;54;JW;NA;NA;NA;NA;NA;;0,289814677
62;2037;4061;19.08.2020;64;2020;00:27:13;natura;59;I6;I6-natura;8;1;2,928;9,68E+14;M;M;26,5;NS;EAR;0;0;0;1;0;NA;746;7,46;100;NA;YES;0;19;JW;54;JW;NA;NA;NA;NA;NA;;0,289814677
63;2037;4539;06.09.2020;82;2020;20:32:11;natura;59;I7;I7-natura;7;4;1,848;9,68E+14;M;M;30;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;19;JW;54;JW;NA;NA;NA;NA;NA;;0,289814677
64;2083;4512;06.09.2020;82;2020;02:04:13;karpaty;86;C2;C2-karpaty;2;2;2,893;6,16E+14;M;MS;39,5;S;EAR;0;0;0;1;0;NA;262;2,62;100;NA;YES;19;0;MZ;2;MZ;NA;182;1,82;96;FAGUS SYLVATICA;;-0,003892931
65;2083;4515;06.09.2020;82;2020;21:40:06;karpaty;86;C2;C2-karpaty;2;5;2,444;6,16E+14;M;MS;39,5;S;EAR;0;0;0;1;0;NA;1760;17,6;100;NA;YES;19;0;MZ;2;MZ;NA;158;1,58;45;FAGUS SYLVATICA;;-0,003892931
66;2089;4456;04.09.2020;80;2020;21:22:34;natura;59;G8;G8-natura;7;1;4,714;9,68E+14;F;F;33;L;EAR;0;0;0;1;0;NA;1204;12,04;100;NA;YES;0;27;JW;60;JW;NA;184;1,84;175;FAGUS SYLVATICA;;0,776531924
67;2089;4500;05.09.2020;81;2020;20:56:59;natura;59;H5;H5-natura;7;5;4,005;9,68E+14;F;F;33;L;CAR;0;0;1;0;1;11,78;1178;11,78;60;litter;YES;0;27;JW;60;JW;0,71;71;0,71;148;FAGUS SYLVATICA;;0,776531924
68;2089;4497;05.09.2020;81;2020;20:46:16;natura;59;H5;H5-natura;7;2;4,087;9,68E+14;F;F;33;L;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;27;JW;60;JW;NA;NA;NA;NA;NA;;0,776531924
69;2089;4499;05.09.2020;81;2020;20:47:01;natura;59;H5;H5-natura;7;4;3,726;9,68E+14;F;F;33;L;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;27;JW;60;JW;NA;NA;NA;NA;NA;;0,776531924
70;2089;3982;17.08.2020;62;2020;00:02:28;natura;59;H5;H5-natura;8;2;4,661;9,68E+14;F;F;33;L;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;27;JW;60;JW;NA;NA;NA;NA;NA;;0,776531924
71;2089;4496;05.09.2020;81;2020;20:52:51;natura;59;H5;H5-natura;7;1;4,033;9,68E+14;F;F;33;L;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;27;JW;60;JW;NA;NA;NA;NA;NA;;0,776531924
72;2089;3985;17.08.2020;62;2020;00:15:41;natura;59;H5;H5-natura;8;5;4,854;9,68E+14;F;F;33;L;EAR;0;0;0;1;0;NA;1480;14,8;100;NA;YES;0;27;JW;60;JW;NA;NA;NA;NA;NA;;0,776531924
73;2092;4654;09.09.2020;85;2020;23:19:36;trojkat;19;D8;D8-trojkat;6;4;2,257;6,16E+14;M;M;23,5;NS;EAR;0;0;0;1;0;NA;228;2,28;100;NA;YES;12;1;MZ;50;MZ;NA;200;2;105;FAGUS SYLVATICA;;-0,503950243
74;2095;4118;21.08.2020;66;2020;22:45:06;bagno;47;E2;E2-bagno;3;3;4,54;6,16E+14;M;M;25;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;1;MZ;0;MZ;NA;NA;NA;NA;NA;;-0,438907824
75;2100;4670;10.09.2020;86;2020;21:32:45;bagno;38;C10;C10-bagno;1;5;4,966;6,16E+14;M;M;22;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;26;AW;52;AW;NA;NA;NA;NA;NA;;0,286247001
76;2100;4669;10.09.2020;86;2020;21:21:13;bagno;38;C10;C10-bagno;1;4;4,796;6,16E+14;M;M;22;NS;M;0;1;NA;NA;NA;NA;NA;NA;NA;NA;YES;0;26;AW;52;AW;NA;NA;NA;NA;NA;;0,286247001
77;2100;4667;10.09.2020;86;2020;21:11:31;bagno;38;C10;C10-bagno;1;2;4,933;6,16E+14;M;M;22;NS;EAR;0;0;0;1;0;NA;3675;36,75;100;NA;YES;0;26;AW;52;AW;NA;15;0,15;120;FAGUS SYLVATICA;;0,286247001
78;2107;4133;21.08.2020;66;2020;00:19:21;trojkat;43;D8;D8-trojkat;6;3;5,54;6,16E+14;M;MS;30,5;S;CAR;0;0;1;0;1;22,38;2238;22,38;70;NA;YES;2;7;MZ;2;MZ;NA;NA;NA;NA;NA;;-0,239233092
79;2107;4096;20.08.2020;65;2020;02:20:01;trojkat;43;G9;G9-trojkat;7;1;5,753;6,16E+14;M;MS;30,5;S;EAR;0;0;0;1;0;NA;946;9,46;100;NA;YES;2;7;MZ;2;MZ;NA;NA;NA;NA;NA;;-0,239233092
