;eartag;lp;plot;date;year_time;time;trap;station;species;PIT_tag;Sex;Body_mass;reproductive_state;open;recapture;Openfield_number;latency;Cross;zones.old;zones.new;manipulator;struggle_no;bag_struggle;watched;Struggle2..1.5.;X;yearText;BLUP_B
1;1;32;debowa;16.cze.20;2020;AM;D2;D2-debowa;APF;9,68E+14;F;22;NP;NO;NEW;1;55;12;NA;NA;RZ;1;43;JW;NA;;2020;-0,37026248
2;1;150;debowa;18.cze.20;2020;AM;D2;D2-debowa;APF;NA;F;21,5;NP;NA;R;2;0;2;NA;NA;JW;2;36;JW;NA;;2020;-0,37026248
3;2;43;wally;15.cze.20;2020;AM;F1;F1-wally;APF;9,68E+14;M;13;NS;NA;NEW;1;0;1;NA;NA;RZ;1;0;PC;NA;;2020;-0,49819732
4;3;23;wally;15.cze.20;2020;AM;A6;A6-wally;APF;9,68E+14;F;15,5;NP;NO;NEW;1;14;11;NA;NA;RZ;1;3;PC;NA;;2020;-0,067835675
5;4;1753;wally;11.sie.20;2020;AM;D8;D8-wally;APF;6,16E+14;F;26,5;NP;NO;R;1;0;30;NA;NA;MZ;1;54;MZ;NA;;2020;0,339059054
6;5;570;wally;06.lip.20;2020;AM;F3;F3-wally;APF;NA;M;31,5;NS;NO;R;1;0;11;NA;NA;JW;1;8;JW;NA;;2020;-0,353966399
7;5;1704;wally;10.sie.20;2020;AM;H4;H4-wally;APF;NA;M;35;S;NA;R;2;0;4;NA;NA;JW;2;0;JW;NA;;2020;-0,353966399
8;5;2251;wally;26.sie.20;2020;AM;H1;H1-wally;APF;6,16E+14;M;35;NS;NA;R;3;0;9;NA;NA;AW;3;37;AW;NA;;2020;-0,353966399
9;8;69;debowa;16.cze.20;2020;AM;H1;H1-debowa;APF;9,68E+14;F;21;NP;NO;NEW;1;0;8;NA;NA;RZ;1;50;JW;NA;;2020;-0,180184161
10;9;33;debowa;16.cze.20;2020;AM;C5;C5-debowa;APF;9,68E+14;M;27;S;NA;NEW;1;4;9;NA;NA;RZ;1;53;JW;NA;;2020;-0,160359037
11;12;31;debowa;16.cze.20;2020;AM;C2;C2-debowa;APF;9,68E+14;M;25;S;NA;NEW;1;120;0;NA;NA;RZ;1;15;JW;NA;;2020;-0,008584613
12;13;34;debowa;16.cze.20;2020;AM;D6;D6-debowa;APF;9,68E+14;F;38;L;NO;NEW;1;6;21;NA;NA;RZ;1;37;JW;NA;;2020;0,118055587
13;14;35;debowa;16.cze.20;2020;AM;B8;B8-debowa;APF;9,68E+14;F;35;P;NO;NEW;1;0;7;NA;NA;RZ;1;42;JW;NA;;2020;-0,259062967
