year;station;eartag;sex;mass;openfield_no;cross
2020;D2-debowa;1;F;22;1;12
2020;D2-debowa;1;F;21,5;2;2
2020;F1-wally;2;M;13;1;1
2020;A6-wally;3;F;15,5;1;11
2020;D8-wally;4;F;26,5;1;30
2020;F3-wally;5;M;31,5;1;11
2020;H4-wally;5;M;35;2;4
2020;H1-wally;5;M;35;3;9
2020;H1-debowa;8;F;21;1;8
2020;C5-debowa;9;M;27;1;9
2020;C2-debowa;12;M;25;1;0
2020;D6-debowa;13;F;38;1;21
2020;B8-debowa;14;F;35;1;7
2020;C9-wally;15;M;23;1;24
2020;F10-wally;15;M;26;2;30
2020;F3-wally;16;M;24;1;6
2020;H3-wally;17;F;27,5;1;18
2020;I1-wally;20;M;46;1;10
2020;I2-wally;22;M;32;1;23
2020;F3-wally;23;F;21;1;14
2020;F3-wally;23;F;21;2;33
2020;G1-wally;24;F;15;1;5
2020;F6-wally;25;M;32;1;11
2020;F5-wally;25;M;36;2;25
2020;F6-wally;25;M;39;3;27
2020;H9-wally;26;F;34;1;21
2020;B1-wally;28;F;28;1;35
2020;B1-wally;28;F;28;2;23
2020;A10-wally;29;F;24;1;12
2020;G1-wally;30;F;19,5;1;9
2020;G10-debowa;35;M;30;1;1
2020;I1-debowa;35;M;34,5;2;5
2020;G3-debowa;35;M;35;3;8
2020;H2-debowa;35;M;30;4;2
2020;C1-debowa;45;F;37,5;1;21
2020;B1-debowa;46;M;32;1;6
2020;J2-debowa;47;M;18,5;1;10
2020;J1-debowa;48;M;26;1;21
2020;E1-debowa;49;F;46;2;0
2020;F7-wally;51;M;17,5;1;10
2020;F4-wally;51;M;26;2;16
2020;F4-wally;51;M;25;3;6
2020;F7-wally;51;M;29;4;19
2020;F6-wally;51;M;34;5;12
2020;H4-wally;52;F;23;1;9
2020;H4-wally;52;F;22;2;24
2020;H4-wally;52;F;26;3;13
2020;G2-wally;52;F;27;4;18
2020;H3-wally;52;F;24;5;20
2020;B6-wally;53;M;16,5;1;7
2020;G8-debowa;56;F;37,5;1;22
2020;I5-wally;57;M;40;1;24
2020;E4-wally;57;M;44;2;40
2020;J4-wally;58;F;29;1;0
2020;G4-wally;59;M;21;1;22
2020;F3-wally;60;M;16;1;6
2020;E5-wally;63;F;22;1;25
2020;D9-wally;73;F;29;1;15
2020;E1-wally;75;M;37;1;36
2020;E8-debowa;76;M;23,5;1;16
2020;I5-debowa;77;M;29;1;18
2020;E7-debowa;78;F;21;1;14
2020;B3-wally;78;F;30;2;20
2020;J6-debowa;79;F;17,5;1;5
2020;I5-debowa;79;F;22;2;16
2020;H5-debowa;79;F;25;3;14
2020;I3-debowa;79;F;27;4;7
2020;H6-debowa;79;F;27;5;6
2020;C2-debowa;81;M;26;1;0
2020;G8-wally;91;F;17;1;11
2020;E6-wally;91;F;21;2;23
2020;G9-debowa;94;F;22;1;27
2020;I3-debowa;96;M;29,5;1;32
2020;H6-debowa;96;M;29;2;27
2020;H7-debowa;97;F;33;1;26
2020;E6-wally;98;F;21,5;1;24
2020;F5-wally;98;F;25;2;21
2020;I2-debowa;99;F;19;1;2
2020;G3-bagno;99;F;22;2;18
2020;C1-wally;101;M;26,5;1;16
2020;F1-karpaty;102;F;23;1;17
2020;G1-karpaty;102;F;23;2;25
2020;C8-karpaty;103;M;21,5;1;23
2020;E8-karpaty;103;M;20;2;25
2020;D3-karpaty;105;M;11,5;1;9
2020;C1-karpaty;105;M;20;2;5
2020;I9-karpaty;108;F;17;1;31
2020;I10-karpaty;108;F;20;2;28
2020;C5-karpaty;108;F;23;3;10
2020;E6-karpaty;108;F;27;4;17
2020;G9-karpaty;108;F;24;5;25
2020;H6-karpaty;108;F;23,5;6;23
2020;H8-karpaty;109;M;21,5;1;17
2020;D5-natura;110;M;23;1;12
2020;B4-natura;111;F;16,5;1;13
2020;C8-natura;112;F;20,5;1;3
2020;F7-karpaty;113;M;22,5;1;31
2020;D7-karpaty;113;M;22;2;32
2020;D5-karpaty;114;F;19;1;32
2020;E4-karpaty;114;F;18;2;12
2020;H10-karpaty;116;M;22;1;23
2020;J6-karpaty;116;M;23;2;30
2020;G10-karpaty;116;M;27;3;24
2020;D8-karpaty;116;M;27;4;34
2020;D8-karpaty;116;M;27,5;5;17
2020;D7-karpaty;117;F;24;1;1
2020;C9-karpaty;117;F;23;2;11
2020;J5-natura;119;M;14;1;4
2020;H6-natura;119;M;24;2;4
2020;H6-natura;119;M;24,5;3;10
2020;F3-natura;121;F;17,5;1;6
2020;F1-karpaty;122;F;32,5;1;21
2020;G1-karpaty;122;F;34,5;2;11
2020;H2-karpaty;122;F;34;3;2
2020;F6-natura;123;M;25;1;6
2020;J2-natura;125;F;15,5;1;1
2020;I4-natura;125;F;26;2;3
2020;I4-natura;125;F;25;3;21
2020;J2-natura;125;F;28;4;1
2020;B8-karpaty;135;M;25;1;25
2020;I7-karpaty;136;M;25,5;1;0
2020;D8-karpaty;136;M;27;2;23
2020;G6-karpaty;136;M;28;3;17
2020;F8-karpaty;136;M;26,5;4;25
2020;B3-karpaty;136;M;29,5;5;31
2020;F8-karpaty;136;M;28;6;38
2020;C2-karpaty;136;M;31,5;7;28
2020;I6-karpaty;136;M;30,5;8;25
2020;E8-karpaty;137;F;26,5;1;19
2020;D7-karpaty;138;M;29,5;1;29
2020;I3-karpaty;139;M;22,5;1;20
2020;H2-karpaty;139;M;20;2;0
2020;F4-karpaty;140;M;21;1;23
2020;B8-karpaty;140;M;20;2;30
2020;D9-debowa;150;F;34;1;12
2020;D9-debowa;150;F;34;2;36
2020;B9-debowa;150;F;36;3;34
2020;A4-natura;155;F;23,5;1;15
2020;C4-natura;155;F;23,5;2;10
2020;A8-natura;156;F;24;1;5
2020;D7-natura;158;F;18;1;25
2020;I6-debowa;161;F;39,5;1;21
2020;I6-debowa;161;F;37,5;2;15
2020;J6-debowa;161;F;36;3;11
2020;I6-debowa;161;F;38;4;3
2020;I7-debowa;161;F;36;5;10
2020;C1-bagno;163;F;35;1;18
2020;F6-natura;166;F;41,5;1;32
2020;F5-debowa;169;F;17,5;1;17
2020;F6-debowa;169;F;22;2;21
2020;F5-debowa;169;F;22;3;15
2020;G6-debowa;169;F;23,5;4;41
2020;D1-natura;170;M;27;1;43
2020;G2-natura;170;M;27;2;32
2020;D3-natura;170;M;29;3;32
2020;D3-natura;170;M;29;4;29
2020;J5-karpaty;173;M;43;1;34
2020;J4-karpaty;174;F;19;1;12
2020;J5-karpaty;174;F;29;2;23
2020;G10 -bagno;176;F;19;1;26
2020;H5-bagno;180;M;23;1;13
2020;H6-bagno;180;M;26;2;16
2020;I5-bagno;180;M;25;3;4
2020;H5-bagno;180;M;28;4;2
2020;I4-bagno;180;M;29;5;1
2020;J3-bagno;180;M;28,5;6;2
2020;J5-bagno;180;M;30;7;12
2020;A1-natura;181;F;21;1;10
